,DocNum,DocContent
0,1,"[""In the second Test at Port of Spain, Sachin Tendulkar scored 117 in the first innings, his 29th Test century in his 93rd Test match, to equal Sir Donald Bradman's record of 29 Test hundreds."", 'By the time the Stones toured America in 1969, they began to fill large halls and arenas, such as The Forum in Inglewood, California.', 'Prior to this Test match, he had had an unusually horrible run of form, failing in all six innings in the preceding three Tests.', ""Bachchan's father died in 2003, and his mother in 2007."", 'George Martin\'s close involvement in his role as producer made him one of the leading candidates for the informal title of the ""fifth Beatle"".', 'The following year, EMI/Capitol settled a decade-long lawsuit filed by the band over royalties, clearing the way to commercially package previously unreleased material.', 'After the moderate success of ""Love Me Do"", the single ""Please Please Me"" met with a more emphatic reception.', 'It topped albums charts in at least 28 countries.', 'He is the 16th player and the first Indian to score 50,000 runs in all forms of domestic and international recognised cricket (First-class, List A and Twenty20).', 'In February 2014, the band embarked on their 14 On Fire tour spanning the Middle East, Asia, Australia and Europe, scheduled to last through to the summer.']"
1,2,"['Tendulkar made an unbeaten 204 as Shane Warne conceded 111 runs in 16 overs and Australia lost the match within three days.', 'They also used novel electronic instruments such as the Mellotron, with which McCartney supplied the flute voices on the ""Strawberry Fields Forever"" intro, and the clavioline, an electronic keyboard that created the unusual oboe-like sound on ""Baby, You\'re a Rich Man"".', 'Anthology was the culmination of work begun in 1970, when Apple Corps director Neil Aspinall, their former road manager and personal assistant, had started to gather material for a documentary with the working title The Long and Winding Road.', 'Those lyrics were the subject of critical analysis; for instance, in late 1967 the album was the subject of a scholarly inquiry by American literary critic and professor of English Richard Poirier, who observed that his students were ""listening to the group\'s music with a degree of engagement that he, as a teacher of literature, could only envy"".', 'The overwhelming public response included prayers in temples and offers to sacrifice limbs to save him, while later, there were long queues of well-wishing fans outside the hospital where he was recuperating.', 'He made 46 and 27 in the league matches before notching up 138 in the final, as India made 319 and won by 46 runs.', 'They released thousands of butterflies in memory of Jones before opening their set with ""I\'m Yours and I\'m Hers"", a Johnny Winter number.', ""The Stones' last album of the sixties was Let It Bleed which reached No."", 'John and the band, Paul and the band, George and the band.""', 'Mumbai eventually won the Ranji Trophy 2012–13.']"
2,3,"['The sessions also produced the Beatles\' longest song yet, ""Hey Jude"", released in August as a non-album single with ""Revolution"".', 'They had nearly exhausted their backlog of songs on the previous album, however, and given the challenges constant international touring posed to their songwriting efforts, Lennon admitted, ""Material\'s becoming a hell of a problem"".', 'He was also coached under the guidance of Achrekar at Shivaji Park in the mornings and evenings.', 'However, he failed in all six innings, scoring a total of 95 runs.', 'During a band meeting in September, McCartney recommended that the band proceed with Magical Mystery Tour.', 'This date has direct relation to the opening of The Cavern Club in 1957.', 'Members of the band set up a complex financial structure in 1972 to reduce the amount of their taxes.', 'Referred to as the Shahenshah of Bollywood, Sadi ka Mahanayak (Hindi for, ""Greatest actor of the century""), Star of the Millennium, or Big B, he has since appeared in over 200 Indian films in a career spanning more than five decades.', 'Regent Sound Studios, a mono facility equipped with egg boxes on the ceiling for sound treatment, became their preferred location.', 'Wisden described his innings as ""a disciplined display of immense maturity"" and also wrote:']"
3,4,"['With the Beatles became the second album in UK chart history to sell a million copies, a figure previously reached only by the 1958 South Pacific soundtrack.', 'The show premiered in June 2006, and the Love album was released that November.', 'Keith Richards and Mick Jagger became childhood friends and classmates in 1950 in Dartford, Kent.', '"", which translates into: ""He won\'t win!', 'He followed with a 42 in the second One-Day International against Pakistan on 11 February 2006, and then a 95 in hostile, seaming conditions on 13 February 2006 in Lahore, which set up an Indian victory.', 'Just when it seemed that he would steer India to the large victory target, he tried to scoop a slower delivery from debutant bowler Clint McKay over short fine leg only to be caught by Nathan Hauritz, with India needing 19 runs to win with 18 balls and four wickets left.', ""Universal was allowed to keep the Beatles' recorded music catalogue, managed by Capitol Records under its Capitol Music Group division."", ""Tragedy greeted them on their return to Germany in April, when a distraught Kirchherr met them at the airport with news of Sutcliffe's death the previous day from what was later determined as a brain haemorrhage."", 'In 2005 and 2006, he starred with his son Abhishek in the films Bunty Aur Babli (2005), the Godfather tribute Sarkar (2005), and Kabhi Alvida Naa Kehna (2006).', 'In early 1981, the group reconvened and decided to tour the US that year, leaving little time to write and record a new album, as well as rehearse for the tour.']"
4,5,"['Touring internationally in June and July, the Beatles staged 37 shows over 27 days in Denmark, the Netherlands, Hong Kong, Australia and New Zealand.', ""We didn't sit around listening to Muddy Waters; we listened to everything."", 'India did not progress to the final, which was won by Pakistan, and refused to participate the next time the championship was held due to increasing political tensions between India and Pakistan.', 'It began with the sound of prison doors closing, and the accompanying music video included allusions to the trial of Oscar Wilde.', 'The Broadway musical Beatlemania, an unauthorised nostalgia revue, opened in early 1977 and proved popular, spinning off five separate touring productions.', 'To many of Dylan\'s followers in the folk music scene, the Beatles were seen as idolaters, not idealists.""', 'He is also renowned for his picture-perfect straight drive, often completed with no follow-through.', 'India lost the series and his average of 15.83 was his worst in a Test series with at least three matches.', 'After a New Year\'s Day audition, Decca Records rejected the band with the comment ""Guitar groups are on the way out, Mr.', 'He first gained popularity in the early 1970s for films such as Zanjeer, Deewaar and Sholay, and was dubbed India\'s ""angry young man"" for his on-screen roles in Bollywood.']"
5,6,"['Tendulkar made his 45th ODI hundred, a 175 off 141 balls.', 'Tendulkar scored 135 runs.', 'He also won Best Batsman and Best Captain awards at 2010 IPL Awards ceremony.', 'Gould observes: ""The more traditional sound of strings allowed for a fresh appreciation of their talent as composers by listeners who were otherwise allergic to the din of drums and electric guitars.""', 'Modi only attended Hindu religious ceremonies, and had prominent associations with Hindu religious leaders.', ""Two double-LP sets of the Beatles' greatest hits, compiled by Klein, 1962–1966 and 1967–1970, were released in 1973, at first under the Apple Records imprint."", 'The Hells Angels biker gang provided security.', ""Gujarat also had a high rate of economic growth in the 1990s, before Modi took office, and scholars have stated that growth did not accelerate during Modi's tenure."", ""The worst was yet to come as Professor Ramesh Tendulkar, Sachin's father, died in the middle of the 1999 Cricket World Cup."", 'Following his second swearing-in ceremony as Prime Minister of India, a picture of Modi was displayed on the facade of the ADNOC building in Abu Dhabi, United Arab Emirates.']"
6,7,"[""Although their initial style was a highly original, irresistibly catchy synthesis of early American rock and roll and R&B, the Beatles spent the rest of the 1960s expanding rock's stylistic frontiers, consistently staking out new musical territory on each release."", 'At the World Cup in the West Indies, Tendulkar and the Indian cricket team led by Rahul Dravid had a dismal campaign.', 'During the 2014 election campaign the BJP projected an image of Modi as a strong, masculine leader, who would be able to take difficult decisions.', ""In the famous 1990–91 Ranji Trophy final, in which Haryana defeated Bombay by two runs after leading in the first innings, Tendulkar's 96 from 75 deliveries was a key to giving Bombay a chance of victory as it attempted to chase 355 from only 70 overs on the final day."", 'In naming his cabinet, Modi renamed the ""Ministry of Environment and Forests"" the ""Ministry of Environment, Forests, and Climate Change.""', 'In 1961, during their second Hamburg engagement, Kirchherr cut Sutcliffe\'s hair in the ""exi"" (existentialist) style, later adopted by the other Beatles.', 'He often bowls when two batsmen of the opposite team have been batting together for a long period, as he can often be a useful partnership breaker.', 'In March 2008, the Supreme Court reopened several cases related to the 2002 riots, including that of the Gulbarg Society massacre, and established a Special Investigation Team (SIT) to look into the issue.', 'Aftermath also contained ""Goin\' Home"", a nearly 12-minute-long song that included elements of jamming and improvisation.', ""Tendulkar finished the 1988–89 Ranji Trophy season as Bombay's highest run-scorer.""]"
7,8,"['Modi maintains a close relationship with his mother, Hiraben.', 'Mumbai eventually piled on 645/9 and won on 1st innings lead.', 'Irritated by McCartney and Lennon, Harrison walked out for five days.', 'He then scored 114 on a fast, bouncing pitch in the final Test at Perth against a pace attack comprising Merv Hughes, Bruce Reid and Craig McDermott.', ""It's not in the small one's destiny!"", 'In 2018 he was the third most followed head of the state on Twitter, and the most followed world leader on Facebook and Instagram.', 'India made 392, won the match and eventually won the series 3–1.', ""The BJP's campaign was assisted by its wide influence in the media."", 'The music and enduring fame of the Beatles were commercially exploited in various other ways, again often outside their creative control.', 'This resulted in Jagger having to project himself ""over the footlights"" and the band needing to use more gimmicks, such as pyrotechnics, lights and video screens.']"
8,9,"['""Brown Sugar"" and ""Wild Horses"" were recorded at Alabama\'s Muscle Shoals Sound Studio during the 1969 American tour.', 'Sachin was picked for a young Indian team to tour England twice, under the Star Cricket Club banner in 1988 and 1989.', 'In naming his cabinet, Modi renamed the ""Ministry of Environment and Forests"" the ""Ministry of Environment, Forests, and Climate Change.""', ""Following his party's victory in the 2019 general election, his administration revoked the special status of Jammu and Kashmir."", 'He followed with a 42 in the second One-Day International against Pakistan on 11 February 2006, and then a 95 in hostile, seaming conditions on 13 February 2006 in Lahore, which set up an Indian victory.', 'In 2019, Tendulkar contributed Rs.', 'It was fun, but basically, as an idea for a film, it was a bit wrong.""', 'He became involved in printing pamphlets opposing the government, sending them to Delhi and organising demonstrations.', 'After the World Cup, in the same year against Pakistan at Sharjah, Indian captain Mohammed Azharuddin was going through a lean patch.', 'Generating intense interest once again, the month-long tour attracted between 10,000 and 20,000 fans to each 30-minute performance in cities from San Francisco to New York.']"
9,10,"[""The album's debut at No."", 'He also jointly owns the badminton team Bengaluru Blasters which participates in the Premier Badminton League.', 'The changes were welcomed by businesspeople, but criticised by environmentalists.', ""In the controversial New Years' Test at Sydney, Tendulkar scored an unbeaten 154, even though India lost the Test."", 'On 24 April 1976, during a broadcast of Saturday Night Live, producer Lorne Michaels offered the Beatles $3,000 to reunite on the show.', 'American chart success began after disc jockey Carroll James of AM radio station WWDC, in Washington, DC, obtained a copy of the British single ""I Want to Hold Your Hand"" in mid-December 1963 and began playing it on-air.', 'Modi completed his higher secondary education in Vadnagar in 1967, where a teacher described him as an average student and a keen debater, with interest in theatre.', 'He started the series wth scores of 10, 35, 44 and 32.', ""The worst was yet to come as Professor Ramesh Tendulkar, Sachin's father, died in the middle of the 1999 Cricket World Cup."", ""The economic policies of Modi's government focused on privatisation and liberalisation of the economy, based on a neoliberal framework.""]"
